,t,population_end_time,samples,epsilon,particles
0,-1,2023-03-30 20:21:20.779280,500,inf,1
1,0,2023-03-30 20:57:44.818998,1928,44653.87621395194,500
2,1,2023-03-30 21:09:53.469505,6067,23066.2345009555,500
3,2,2023-03-30 21:35:05.696724,4157,11157.181784492857,500
4,3,2023-03-30 21:35:13.423222,9999,7607.110201272176,500
5,4,2023-03-30 22:09:19.454532,3402,4781.622740402549,500
6,5,2023-03-30 22:28:44.774036,6085,3592.7294578298647,500
7,6,2023-03-30 22:40:13.077927,7759,3210.89521490157,500
8,7,2023-03-30 22:48:54.707812,6846,2967.1719863512303,500
9,8,2023-03-30 23:22:37.801286,9323,2692.5577437528236,500
10,9,2023-03-31 00:27:11.578243,41932,2418.238553682132,500
11,10,2023-03-31 04:53:46.763215,121914,2225.281503157414,500
12,11,2023-03-31 07:17:55.808578,88229,2005.162792384884,500
13,12,2023-03-31 08:08:41.019899,18128,1691.9084641984261,500
14,13,2023-03-31 09:22:17.064616,14987,1619.0434071023424,500
15,14,2023-03-31 09:58:06.478466,15394,1502.569028960133,500
16,15,2023-03-31 09:58:32.615586,40606,1396.329630636481,500
17,16,2023-03-31 10:12:16.134346,9449,1367.023080658998,500
18,17,2023-03-31 10:14:04.394107,14829,1306.5037265653962,500
19,18,2023-03-31 10:34:59.209020,11608,1241.93873100299,500
20,19,2023-03-31 10:52:35.098400,27057,1213.4955074265022,500
21,20,2023-03-31 11:50:31.047751,46237,1169.6086344463845,500
22,21,2023-03-31 13:28:35.882356,64767,1148.7453287058543,500
23,22,2023-03-31 17:24:58.187198,136975,1116.3148473303063,500
24,23,2023-03-31 21:47:56.869750,234058,1073.774747217936,500
