,t,population_end_time,samples,epsilon,particles
0,-1,2023-04-05 03:54:33.049420,1000,inf,1
1,0,2023-04-05 04:32:03.145996,3641,48451.47740631507,1000
2,1,2023-04-05 05:05:35.526006,9197,25181.109301291355,1000
3,2,2023-04-05 05:36:48.679339,11880,13333.868480642037,1000
4,3,2023-04-05 06:14:38.581065,14389,6844.425287818216,1000
5,4,2023-04-05 06:56:43.396312,14471,4667.9020124975195,1000
6,5,2023-04-05 07:50:06.511679,21107,3394.5798389366682,1000
7,6,2023-04-05 08:49:16.201598,27672,2900.1626278981407,1000
8,7,2023-04-05 10:16:05.623919,42397,2635.699320884539,1000
9,8,2023-04-05 12:48:05.374043,72669,2420.164053029724,1000
10,9,2023-04-05 18:10:22.840943,198723,2206.145640518676,1000
11,10,2023-04-05 20:33:57.336578,95920,2014.8943079269984,1000
12,11,2023-04-05 22:44:01.867772,77183,1703.0728919207484,1000
13,12,2023-04-06 00:16:04.927594,61165,1627.1597016661526,1000
14,13,2023-04-06 03:04:00.319584,110304,1550.3978845073846,1000
15,14,2023-04-06 06:42:54.920262,126702,1441.7041344713223,1000
16,15,2023-04-06 11:00:56.768734,167310,1312.9031531422108,1000
17,16,2023-04-06 17:05:18.125516,173994,1244.6397750573344,1000
