,t,population_end_time,samples,epsilon,particles
0,-1,2023-03-19 10:09:51.406145,250,inf,1
1,0,2023-03-19 10:34:24.731018,837,52710.35323093863,250
2,1,2023-03-19 10:53:55.230471,1102,26908.585564975136,250
3,2,2023-03-19 11:24:53.289744,1609,12493.684823015365,250
4,3,2023-03-19 11:55:09.110277,1185,7977.055629524224,250
5,4,2023-03-19 12:25:19.228003,1181,4415.179915912553,250
6,5,2023-03-19 12:58:06.703451,1194,3358.302111942357,250
7,6,2023-03-19 13:15:00.335665,634,3126.6578814836803,250
8,7,2023-03-19 13:45:34.852519,2953,2502.43640733073,250
9,8,2023-03-19 14:16:22.740211,3255,2454.240548963783,250
10,9,2023-03-19 14:54:17.832884,7589,2328.286284050291,250
11,10,2023-03-19 15:56:07.031072,10899,2275.63720242361,250
12,11,2023-03-19 17:24:22.050805,10062,2237.5850144335905,250
13,12,2023-03-19 17:48:50.176973,6580,2181.3747631025904,250
14,13,2023-03-19 19:25:57.823896,8059,1963.8888352238898,250
15,14,2023-03-19 19:59:51.008079,4729,1707.3482910937803,250
16,15,2023-03-19 20:30:16.338379,8685,1616.875025099374,250
17,16,2023-03-19 20:31:27.051258,4215,1552.5131672947464,250
18,17,2023-03-19 20:31:49.778762,5437,1497.0282156958724,250
19,18,2023-03-19 20:32:13.683269,4041,1473.314859191846,250
20,19,2023-03-19 20:33:00.041308,10399,1441.145881841244,250
21,20,2023-03-19 20:33:46.780375,11315,1418.1278866943394,250
22,21,2023-03-19 20:36:48.226184,33509,1402.9945737752366,250
23,22,2023-03-19 20:40:06.126926,30065,1379.609180240191,250
24,23,2023-03-19 21:26:23.866704,1329114,1263.194830145465,250
25,24,2023-03-20 00:37:19.340694,3563829,1237.8845494445586,250
26,25,2023-03-20 03:03:59.780112,2827602,1218.4683957470254,250
27,26,2023-03-20 12:39:11.817193,12549219,1175.894521042524,250
