,t,population_end_time,samples,epsilon,particles
0,-1,2023-03-20 08:47:24.408031,250,inf,1
1,0,2023-03-20 09:32:40.528671,807,49685.97293668685,250
2,1,2023-03-20 10:04:54.792377,1663,26992.72943728322,250
3,2,2023-03-20 10:45:32.986066,1986,14914.473036444191,250
4,3,2023-03-20 11:21:25.189695,1785,8651.415051015296,250
5,4,2023-03-20 12:19:28.712187,2307,5304.818265737238,250
6,5,2023-03-20 12:42:46.309312,2466,3975.7318052094856,250
7,6,2023-03-20 13:59:18.997441,3836,2813.9041450813206,250
8,7,2023-03-20 15:24:46.011543,10194,2480.70462849395,250
9,8,2023-03-20 16:32:20.639179,9759,2438.054913612883,250
10,9,2023-03-20 17:44:49.180474,11687,2345.9802034481654,250
11,10,2023-03-20 19:24:09.322908,16632,2291.1269280955794,250
12,11,2023-03-20 22:58:49.797831,43343,2188.367024158245,250
13,12,2023-03-21 02:03:19.559246,66869,1954.7223444765132,250
14,13,2023-03-21 02:20:30.338433,18427,1651.7915419404676,250
15,14,2023-03-21 02:22:53.066047,29456,1515.1004373810347,250
16,15,2023-03-21 02:26:58.348308,8470,1466.7322626429516,250
17,16,2023-03-21 02:28:10.544010,2803,1416.3085847264108,250
18,17,2023-03-21 02:31:13.525129,6537,1342.4742980600015,250
19,18,2023-03-21 02:36:05.583708,10579,1314.3905860491939,250
20,19,2023-03-21 02:44:12.879300,20768,1273.290908614339,250
21,20,2023-03-21 02:57:19.951860,33179,1257.071896735241,250
22,21,2023-03-21 03:39:33.202054,111252,1199.102206046662,250
23,22,2023-03-21 04:53:26.982186,188769,1195.4965190459052,250
24,23,2023-03-21 06:03:51.367438,209831,1166.7085758146463,250
25,24,2023-03-21 11:39:07.869963,1060709,1110.9694245114927,250
26,25,2023-03-21 22:53:01.821773,1757352,1090.3021717116524,250
