,t,population_end_time,samples,epsilon,particles
0,-1,2023-04-01 20:21:53.104925,1000,inf,1
1,0,2023-04-01 20:59:20.766034,3640,47911.79880284355,1000
2,1,2023-04-01 21:37:41.599689,4655,23389.73570928352,1000
3,2,2023-04-01 22:14:57.899149,4984,12205.20984144559,1000
4,3,2023-04-01 22:54:08.747127,6199,6945.622233019704,1000
5,4,2023-04-01 23:39:59.052311,7701,4693.446261149712,1000
6,5,2023-04-02 00:34:14.260688,9899,3647.4031414750148,1000
7,6,2023-04-02 01:42:00.460277,15691,2993.6802493619216,1000
8,7,2023-04-02 02:14:54.958610,10722,2904.39578848916,1000
9,8,2023-04-02 04:43:43.058637,35049,2591.7032624851304,1000
10,9,2023-04-02 05:44:01.432131,31621,2498.9740405400776,1000
11,10,2023-04-02 09:12:11.165267,87811,2357.178737645527,1000
12,11,2023-04-02 19:28:50.307452,214764,2057.390753421636,1000
13,12,2023-04-02 22:21:27.599664,93716,1850.3535194003834,1000
14,13,2023-04-03 02:02:43.349641,66600,1668.9579018536842,1000
15,14,2023-04-03 05:59:50.060380,73929,1564.1363603035354,1000
16,15,2023-04-03 14:38:29.151461,232638,1420.3136755245487,1000
