,t,population_end_time,samples,epsilon,particles
0,-1,2023-03-20 10:54:39.656870,250,inf,1
1,0,2023-03-20 11:27:14.785318,1069,50333.81152763105,250
2,1,2023-03-20 11:27:22.329939,10149,26094.016123786525,250
3,2,2023-03-20 11:59:23.489424,1054,15760.732010585294,250
4,3,2023-03-20 12:01:29.734216,9671,6118.856027476809,250
5,4,2023-03-20 12:49:35.410309,3926,3177.5471834541504,250
6,5,2023-03-20 13:00:44.270223,6510,2860.6073799968003,250
7,6,2023-03-20 13:18:37.836343,6691,2498.1083535973326,250
8,7,2023-03-20 13:19:26.034066,67109,2454.7614182039088,250
9,8,2023-03-20 13:20:55.998044,4428,2439.9546644233214,250
10,9,2023-03-20 13:21:04.225910,11026,2413.5701847205323,250
11,10,2023-03-20 13:21:54.922027,2321,2292.969974395276,250
12,11,2023-03-20 13:22:05.957755,7719,2128.7920242585415,250
13,12,2023-03-20 13:24:25.375653,11318,1982.3058292626583,250
14,13,2023-03-20 13:24:44.821499,7735,1853.2038572359256,250
15,14,2023-03-20 13:24:49.771755,3106,1778.2512755866148,250
16,15,2023-03-20 13:25:21.163023,6184,1684.1095921898454,250
17,16,2023-03-20 13:25:47.359152,7505,1559.7592769699602,250
18,17,2023-03-20 13:26:20.729367,9370,1453.73782953812,250
19,18,2023-03-20 13:31:17.173813,81688,1372.270809592205,250
20,19,2023-03-20 13:33:16.587018,49992,1362.5425750621155,250
21,20,2023-03-20 13:36:45.782368,73692,1326.6466652960887,250
22,21,2023-03-20 13:42:41.231001,123133,1279.8172365893747,250
23,22,2023-03-20 13:57:34.131173,392523,1259.1732773610474,250
24,23,2023-03-20 14:25:56.377397,731765,1236.4157000442217,250
25,24,2023-03-20 14:52:24.443961,656465,1217.8983657161116,250
26,25,2023-03-20 20:32:44.079808,7566498,1169.161355336063,250
